121.8091 24.5421 12.2000 2.44 c
122.4651 24.1176 29.6600 2.81 c
121.0150 24.3840 7.2100 2.30 c
121.0536 24.0105 9.3200 1.93 c
122.2258 24.3945 68.9800 3.09 c
121.5618 23.8226 26.9100 2.57 c
121.6188 23.8346 43.0500 2.89 c
122.3186 24.8225 129.7500 2.94 c
120.9633 23.9395 8.8800 1.73 c
122.1965 24.8371 104.3400 3.21 c
121.2595 23.0096 13.8400 1.86 c
121.7108 24.2921 15.6800 2.31 c
121.3811 24.1193 62.9600 2.56 c
121.0481 24.3580 7.2200 1.81 c
120.6980 23.8005 22.0500 2.18 c
121.8863 24.2983 9.9200 1.87 c
121.8041 24.5415 6.4600 1.45 c
121.8526 24.3491 7.9600 1.70 c
121.5443 23.7946 26.1500 2.18 c
121.6586 23.9521 14.3600 1.88 c
121.5878 23.9271 9.4800 1.91 c
121.5973 23.7533 37.9000 2.30 c
121.4171 24.8083 6.4700 1.88 c
121.6988 24.5943 65.2000 2.29 c
121.4116 23.7101 16.6000 2.70 c
121.7073 23.8071 35.8800 2.37 c
121.5171 24.5250 7.4300 1.35 c
121.0225 22.9715 5.5500 1.53 c
121.7401 24.3005 5.9500 2.01 c
121.5778 23.7701 17.9800 1.14 c
120.5945 23.5455 6.9400 1.99 c
122.2266 24.2073 49.3300 4.61 c
120.7801 23.5993 18.1800 1.49 c
120.9053 22.8375 2.0000 1.23 c
121.2651 23.6013 15.9100 1.29 c
122.2181 24.8995 12.9600 2.38 c
122.0335 24.8923 10.9500 1.82 c
120.5543 23.2475 7.7600 1.51 c
121.0680 24.3593 10.3000 1.87 c
121.5605 24.5375 7.2300 1.41 c
121.5798 23.7596 33.1300 2.43 c
121.3831 23.0020 17.4500 2.06 c
120.5403 23.2436 9.2400 1.30 c
120.9948 22.3971 12.5200 2.90 c
121.5740 23.8156 28.2200 2.88 c
121.7126 24.2988 5.6000 1.85 c
121.7150 24.2681 3.4800 1.69 c
120.7045 23.6433 13.9100 1.97 c
121.7386 24.2978 7.6800 2.31 c
121.2985 22.1153 26.7300 2.53 c
120.9810 22.3760 16.5300 1.88 c
121.9808 24.2375 28.1100 2.63 c
121.6275 23.7845 33.7400 4.92 c
120.7115 23.5096 4.7800 1.52 c
121.7833 24.4760 17.3300 1.94 c
121.7668 24.3586 16.6200 1.61 c
120.9118 22.8411 10.7000 2.06 c
120.5255 23.2748 7.3700 1.32 c
120.9978 22.3835 12.1300 2.14 c
120.3783 23.2505 16.6400 1.37 c
121.9658 24.3708 12.0100 1.52 c
121.9648 24.3443 13.8000 1.73 c
121.6235 23.8210 45.0900 2.55 c
121.6991 24.3006 13.9100 1.59 c
121.8176 24.5053 7.7500 1.55 c
120.4851 23.2058 15.5000 1.75 c
120.8598 24.2413 11.1300 2.33 c
120.8811 24.2460 10.8400 2.25 c
122.6600 23.8943 46.7700 3.45 c
121.3450 24.3536 9.8500 1.70 c
120.9020 22.8345 8.1800 1.60 c
120.5751 21.8458 33.2400 3.13 c
120.5551 23.3046 22.7300 1.25 c
120.4803 23.3781 3.2500 0.85 c
120.5028 23.3603 6.0800 2.25 c
121.5953 24.0088 9.2900 2.03 c
120.9106 24.2515 7.4400 1.81 c
121.5911 23.8903 29.3700 2.12 c
121.9146 24.5053 10.6100 2.25 c
122.4318 24.8531 15.0100 2.29 c
121.4331 22.0395 24.8000 2.49 c
121.1305 23.0588 43.7600 2.21 c
120.7285 23.5241 10.5700 1.68 c
121.7923 24.4150 11.8600 1.66 c
121.9266 24.2611 37.2100 2.16 c
121.3285 24.3678 6.0200 1.73 c
121.8165 24.3988 13.0600 2.20 c
120.7020 23.8025 20.7300 1.55 c
121.8841 24.4745 11.8800 2.12 c
121.8228 24.2438 57.5600 2.60 c
121.0420 21.9356 49.5100 2.81 c
121.8111 24.4238 12.2200 1.94 c
120.7151 23.3173 15.5700 1.53 c
121.3461 22.7100 11.1200 2.07 c
121.0338 24.3698 6.2500 1.81 c
121.8070 24.4220 11.6000 1.77 c
121.6843 24.5545 41.7600 2.56 c
121.7741 24.6111 7.2900 1.72 c
120.7163 23.2568 13.3300 1.33 c
121.0465 22.9740 9.4100 1.84 c
121.9935 24.8900 10.1400 1.57 c
121.0443 24.2846 8.8000 2.08 c
121.6966 24.0333 24.2600 2.22 c
121.5688 24.2165 26.6500 1.79 c
120.8680 24.1948 13.6500 1.75 c
